Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
09.06.,8,0.192866149,0.054334081000000006,0.12176756999999999,0.182230317,0.11285108499999999,0.18600027000000002,0.14955930099999998,0.297081856,0.158191639,0.14915193699999998,0.279619238,0.303684213,0.187230601,0.184712161,0.068716605,0.115229787,0.27187340400000004,0.23695734399999996,0.26294512299999995,0.256258174,0.10337089799999999,0.20780010900000004,0.245444698,0.191578747,0.33545665099999994,0.237288609,0.13194557899999998,0.25412788,0.167531911,0.173263419,0.169917209,0.219750836,0.213941275,0.17910819,0.038623252999999996,0.185418026
09.06.,9,0.266533713,0.080905207,0.18403128,0.252449918,0.160344975,0.265990286,0.21043839399999997,0.42625809000000003,0.22715343799999999,0.215474646,0.396530873,0.4336678889999999,0.26556693,0.253337931,0.095071975,0.163022185,0.383210452,0.34331769599999995,0.369073744,0.353331197,0.146165003,0.302290415,0.34054515399999996,0.277522043,0.4719410029999999,0.336447877,0.192056489,0.34907089700000005,0.246564498,0.262640831,0.23713092299999997,0.299202631,0.287245843,0.26252742700000004,0.055990551,0.25595745200000003
09.06.,10,0.30946456099999997,0.10942550100000001,0.226663218,0.29522843,0.193878502,0.3366097229999999,0.265566889,0.522972602,0.27344322099999996,0.283035406,0.47682620900000006,0.5358445660000001,0.34898311699999995,0.310425646,0.11706766700000001,0.19798993600000003,0.477280801,0.420360289,0.45759952200000004,0.42532557,0.202653687,0.3561436290000001,0.43261879700000005,0.33674587199999995,0.556279703,0.400465397,0.28236208,0.408893614,0.317806877,0.37676075499999995,0.32827840100000005,0.343492242,0.32330293699999996,0.31352805100000003,0.082118769,0.31283262500000003
09.06.,11,0.323852661,0.132700806,0.251817289,0.311870598,0.212445905,0.385007271,0.302279324,0.5801736660000001,0.29725988,0.334643664,0.518060081,0.597818439,0.41334214799999996,0.344010918,0.13074583900000003,0.218177746,0.536770455,0.4634547849999999,0.5131109269999999,0.462724479,0.251793088,0.3777487,0.49435336099999994,0.369015808,0.5965100720000001,0.43324494799999996,0.359105839,0.434945215,0.367778484,0.46956399399999993,0.400750285,0.358499553,0.33109881399999996,0.341037484,0.10460430800000001,0.34634405
09.06.,12,0.316984249,0.148894837,0.26101776,0.308880084,0.217932098,0.41144248699999997,0.320982098,0.603668408,0.30223492099999993,0.368407209,0.528197222,0.6247782749999999,0.45692214200000003,0.35640745799999995,0.13632616,0.22534607299999998,0.566292858,0.47772368000000004,0.539919313,0.47259683599999996,0.289344485,0.374488246,0.528619044,0.378763564,0.6027707310000001,0.440239632,0.41409180599999995,0.435287358,0.395416274,0.532463373,0.447922544,0.352871053,0.319797094,0.348767601,0.120640535,0.359703037
09.06.,13,0.309605436,0.161346172,0.24847302300000002,0.33205465700000003,0.22545788,0.4077774139999999,0.327946898,0.601959897,0.31120093499999996,0.39392772099999995,0.5269639570000001,0.621306944,0.476523776,0.358275419,0.16233854599999997,0.233494225,0.563412421,0.465262062,0.543633809,0.46209971899999996,0.27826347399999996,0.38278201600000006,0.5450178499999999,0.38261696999999995,0.596733697,0.44008974300000003,0.448015166,0.446166697,0.412478938,0.5534924910000001,0.45775879100000005,0.33582402699999997,0.28571572,0.31648105,0.129815958,0.373769265
09.06.,14,0.28880551800000004,0.16553914499999997,0.224278628,0.340025868,0.22210366800000003,0.387065982,0.320905163,0.576405326,0.306005208,0.40296173399999996,0.505025186,0.59291324,0.47725908400000006,0.344675891,0.18120192600000004,0.23085631299999998,0.5378974969999999,0.43356627999999997,0.5247570819999999,0.43235045499999997,0.253989056,0.37486323099999996,0.539761875,0.370099612,0.567326285,0.42182692599999994,0.46183770700000004,0.438419782,0.41180122999999996,0.551172134,0.44879404500000003,0.30519452,0.240610288,0.27191944300000004,0.131897985,0.370959704
09.06.,15,0.254892845,0.160182452,0.190381465,0.33027459000000003,0.206689307,0.348482877,0.298700215,0.525201787,0.285476721,0.39142065000000004,0.460582867,0.537931332,0.455223939,0.31452894600000003,0.18921660699999998,0.21660908699999998,0.487949858,0.3824166359999999,0.481221348,0.38315292700000003,0.217978016,0.348286612,0.508890097,0.33943114399999996,0.513183816,0.384065442,0.449797244,0.409293073,0.38991023700000005,0.520842911,0.4184207,0.262536427,0.187951011,0.218511225,0.126249057,0.348863371
09.06.,16,0.212174514,0.14136031200000002,0.152590702,0.30288731999999996,0.177923255,0.290203152,0.273691861,0.44777131600000003,0.244740497,0.334597615,0.392789938,0.45488844900000003,0.394249353,0.29245598899999997,0.169702398,0.177263324,0.41766986500000003,0.30843477399999997,0.40484622900000006,0.312562752,0.199084292,0.298388339,0.433212469,0.25949165399999996,0.44175495,0.32586447700000004,0.399113207,0.359197934,0.34600169500000005,0.454779709,0.365918671,0.224040186,0.146259539,0.172089366,0.11040043699999999,0.313198096
09.06.,17,0.15972243299999997,0.113661431,0.109726707,0.251153345,0.139650484,0.21862161600000002,0.22933362699999998,0.34472965999999994,0.190117166,0.259512237,0.30307807000000003,0.346447135,0.310144457,0.248941009,0.140164876,0.13119345599999999,0.322816211,0.22249273299999997,0.30737946499999996,0.228354352,0.167159249,0.232295319,0.33335854900000006,0.17179810699999998,0.34315456299999997,0.250693845,0.320495329,0.28606751399999997,0.278914026,0.358606418,0.289967669,0.17326847499999998,0.101416116,0.120963446,0.087841439,0.255563654
09.06.,18,0.103814813,0.078979771,0.06783870299999999,0.17600198500000003,0.09508603,0.141941099,0.166622569,0.22645624400000003,0.126897121,0.173482468,0.20036448099999998,0.223760155,0.20989053,0.182954601,0.10223886699999998,0.08415183199999998,0.213254873,0.13674474199999997,0.199294055,0.14176582999999998,0.122817357,0.15621526000000002,0.21891640299999998,0.093087797,0.226639808,0.166035491,0.219371655,0.195369299,0.19296928900000002,0.24066898000000003,0.19674568,0.11624701999999998,0.059364402,0.07131598900000001,0.060330776,0.17960850899999997
09.06.,19,0.053511878,0.042331214000000006,0.036645308999999994,0.08861998899999998,0.049479607999999994,0.074843932,0.09063981,0.11355582299999999,0.06322199599999999,0.088598208,0.10191702700000001,0.11066476,0.106017651,0.09249107399999999,0.054593826,0.048602563,0.10562928299999999,0.07457657899999999,0.099462468,0.07418510499999999,0.06739501799999999,0.081627765,0.10453368999999998,0.050556079000000004,0.114067078,0.086509876,0.11257260699999999,0.102017843,0.10219014700000001,0.12122517199999999,0.10402905500000001,0.063904981,0.032133619,0.036983910999999994,0.030447168,0.092826708
09.06.,20,0.016215394,0.012527164,0.011912608,0.027251027,0.014662892,0.023417281,0.029373335999999996,0.035300339,0.017860892999999996,0.027168273000000003,0.032015364,0.034378009,0.032774919,0.027693984,0.017259764,0.017122883000000002,0.03138852,0.024634928,0.03022375,0.023705923,0.02238467,0.025365200999999997,0.029273711,0.016354171,0.036113231999999995,0.027851958,0.035043878,0.031837437,0.033260409,0.038039118000000004,0.033051683,0.021292188,0.009908687,0.011019076000000001,0.008442217,0.028940947
09.06.,21,0.0008797939999999999,0.00034917600000000003,0.0007898209999999999,0.001622655,0.000536415,0.0013391589999999997,0.002833897,0.0031732749999999997,0.000588124,0.0022391180000000004,0.0029248550000000005,0.002430307,0.00282919,0.0015655529999999997,0.0008606789999999999,0.001065049,0.0023871130000000006,0.001610817,0.002291644,0.0016280729999999998,0.0014109279999999999,0.0014350899999999998,0.0012736289999999999,0.0008220759999999998,0.003005778,0.0029626680000000003,0.002891921,0.002731554,0.0032749039999999995,0.003340707,0.0028668799999999996,0.0015119490000000003,0.00032668400000000005,0.000473148,0.000168663,0.00180728
09.06.,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09.06.,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09.06.,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.06.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.06.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
