Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
13.09.,11,0.17850161099999995,0.40059945399999997,0.08722445200000001,0.403555094,0.470252212,0.4223384460000001,0.489030211,0.514235746,0.208223453,0.249428315,0.5277163330000001,0.41453361199999994,0.29091570099999997,0.354908149,0.23388088500000004,0.290894696,0.38509398200000006,0.312163944,0.5185410530000001,0.455922657,0.496154583,0.491883863,0.28115948700000004,0.258606292,0.533508151,0.6384503539999999,0.5616055600000001,0.38221509100000006,0.588059369,0.576217641,0.584177705,0.38434244900000003,0.15501555000000003,0.276487337,0.210609038,0.47055353799999994
13.09.,12,0.200540283,0.43846464399999996,0.09368208599999998,0.471778306,0.5315402570000001,0.44048021500000006,0.544611283,0.552130462,0.263634321,0.261843916,0.566489429,0.448837775,0.351471689,0.384657413,0.262144819,0.33429939799999997,0.391102003,0.347876005,0.5625055959999999,0.498309769,0.542079711,0.533700846,0.29780767099999994,0.303583376,0.576240881,0.6629103929999999,0.586438403,0.382813261,0.6443484389999999,0.620250445,0.631501055,0.416823203,0.179664568,0.29907987599999997,0.25653152500000004,0.499085369
13.09.,13,0.216715928,0.44702952600000007,0.101029925,0.47270877,0.525417989,0.421472292,0.5498155039999999,0.553912731,0.309359563,0.258240298,0.56777238,0.456577719,0.37278425499999995,0.37861542400000003,0.23063559099999997,0.32128522,0.411129018,0.3433155600000001,0.588414851,0.49376920999999996,0.562445703,0.537493133,0.270052585,0.31247346100000006,0.577531258,0.6477283250000001,0.578623504,0.358795581,0.635762421,0.610217696,0.6320074579999999,0.438101239,0.194645053,0.287834903,0.290156865,0.492081697
13.09.,14,0.21523201499999997,0.419766015,0.09977320399999999,0.43668130299999997,0.47942652100000005,0.37146090099999995,0.511826727,0.512628665,0.33199171899999996,0.23555364499999998,0.5253288460000001,0.42748663400000003,0.365651766,0.343578492,0.183640426,0.28349398800000003,0.399122934,0.313740488,0.568825951,0.45255519099999997,0.539194722,0.49995473999999995,0.22496270000000002,0.296621103,0.535175131,0.586396885,0.52706764,0.31060749699999995,0.580006385,0.554209527,0.585312005,0.424109299,0.19350225699999998,0.25419156699999995,0.298912561,0.447182617
13.09.,15,0.19313650899999998,0.357497644,0.08970951599999999,0.36613142,0.39818125299999996,0.296306901,0.432250725,0.430140777,0.321180339,0.196605744,0.441144467,0.363109006,0.32638864,0.283558357,0.129227723,0.22624653299999997,0.35222202299999994,0.261366715,0.500024566,0.377256833,0.470195382,0.42376342,0.16993370600000002,0.25682094099999997,0.44976484400000005,0.481464707,0.43516036799999996,0.24590954700000006,0.47960668,0.456081505,0.49140341900000006,0.372020394,0.17282241399999998,0.204206886,0.277776257,0.3684423579999999
13.09.,16,0.14874641900000002,0.26641273800000004,0.070946482,0.26233930699999997,0.30109143,0.195093511,0.31661498,0.315968487,0.241450274,0.144323718,0.32481643499999996,0.257876662,0.240447887,0.207060729,0.091937924,0.172891393,0.272191031,0.19425850700000002,0.371687148,0.267210159,0.34815441,0.319876324,0.136659386,0.18421473800000002,0.326384231,0.348614366,0.30769413700000003,0.18842024200000002,0.349091787,0.33343139099999997,0.3638944839999999,0.288721457,0.131365899,0.145084653,0.215346726,0.271183707
13.09.,17,0.091957925,0.156787804,0.045868194,0.14763901299999999,0.180067027,0.09941806300000001,0.18225571499999998,0.18164857399999998,0.144143078,0.085699951,0.187733388,0.14377097000000003,0.140993194,0.118610665,0.051847325,0.10566340999999999,0.16787633,0.11518177999999998,0.21591288999999997,0.14565297,0.20150823,0.190924453,0.091115889,0.105040562,0.184474063,0.195998326,0.16986339299999997,0.11633257699999999,0.197631749,0.190473066,0.21019734599999998,0.176208835,0.07946076099999999,0.08327723199999999,0.133530755,0.156934737
13.09.,18,0.032789755000000004,0.051146363,0.018853144999999998,0.045434131,0.05882804,0.027132597999999997,0.057034397,0.056018522999999994,0.048538767000000003,0.030829809,0.058790524000000004,0.04446949299999999,0.046089877999999994,0.037780737999999994,0.017505100000000003,0.035758418,0.056285768,0.038960821,0.06702189,0.041679527999999993,0.06202043499999999,0.062654315,0.036688412,0.035348342,0.055859929,0.059156110000000005,0.051231052000000006,0.041561141999999995,0.059677039,0.058552124,0.065538122,0.05792551899999999,0.027714702999999993,0.028927601999999997,0.04643026,0.049916507
13.09.,19,0.002060741,0.0033924619999999997,0.0014423279999999999,0.0027868249999999997,0.004401834,0.001402105,0.004182831,0.0038556529999999997,0.0031264179999999997,0.002069411,0.004374272,0.002842238,0.0026325240000000002,0.0023008969999999997,0.0011374509999999998,0.001898537,0.003532119,0.002106364,0.004585799,0.002414006,0.004202695,0.004352827,0.0022296440000000002,0.001735491,0.003301334,0.0035965349999999997,0.002860611,0.002033979,0.0034622119999999997,0.003549211,0.004041812,0.003450473,0.001511195,0.001651202,0.002640595,0.0028801029999999997
13.09.,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.09.,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.09.,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
